1000 3
974 -5890 3881 
8941 -2240 7267 
924 6239 -4585 
5657 357 -4618 
-6797 9330 -3202 
3168 -90 -8812 
-2294 632 -9519 
8741 1917 313 
8699 -568 -6433 
-605 8077 7521 
9113 -817 -4845 
-6923 -1602 6215 
223 5564 -2677 
-286 -2329 6790 
-3794 -4892 -6604 
-5930 511 5638 
-8797 6706 4469 
6015 -8681 -2928 
1669 -672 -7191 
4695 6000 1189 
-484 2488 4557 
-8774 -2430 -2962 
-2368 7926 -3433 
-2254 4298 6396 
5403 -5514 -1177 
-1749 4375 -9818 
8831 2518 2598 
-4712 -1258 6298 
631 9561 -8537 
-2403 -4637 -5166 
2283 -4248 -4168 
-8523 7438 -9127 
-7060 9658 8914 
-4612 -1930 4015 
4009 2348 -981 
-5344 8155 2268 
5397 -2562 3056 
9691 -1397 -2680 
9874 4814 8132 
-8846 8982 -63 
7945 -7513 -6187 
9862 -6403 6225 
-6088 7214 -6936 
2505 7120 -9364 
-248 -1867 7960 
8435 731 -1687 
-3115 3493 3163 
-3180 6140 9014 
9352 -8004 -3043 
-319 -3317 1507 
-5478 6578 5096 
7806 4368 1363 
-6259 5516 -8149 
-8086 5219 -6117 
-9247 -1162 -978 
1045 2129 -1768 
-5124 9258 8546 
174 5844 -5305 
-4486 -6392 8090 
7264 -7190 -8964 
1173 -1236 2567 
-591 2805 -864 
-2297 7118 340 
3399 456 -7250 
4917 3189 -2323 
6693 1151 7022 
9891 1950 -1765 
-2340 5960 6419 
-1095 -1907 2416 
-4600 4983 -3840 
-7603 2602 -918 
3127 4202 6839 
4813 1992 -7028 
-7050 8689 -8832 
6371 7006 -4746 
-7125 -3629 -9011 
3768 6 -9282 
-5046 1492 -3562 
-1250 7735 721 
6472 9261 -6644 
8401 7997 9144 
3782 2623 4745 
-2906 3613 9628 
-364 2635 5285 
885 -4588 -4956 
8983 -4576 9107 
9145 487 -5359 
-7235 -3030 -6520 
-7647 -6737 8713 
8830 -3650 5960 
440 -8090 9072 
-397 -8203 -9549 
6296 -2106 -6058 
7062 8369 -7863 
-2671 -2675 -8975 
-2260 2886 5504 
-123 6735 -7604 
-4016 7801 -765 
-7930 894 3376 
-6934 -2906 -9030 
-6342 -8280 1922 
4849 1153 7483 
-3855 -8387 -3741 
4963 824 -6811 
5429 -2938 523 
-8054 8065 -4909 
1649 -5783 -4746 
-2517 4057 -9404 
9237 4478 -979 
-1446 6123 2492 
7132 -3920 8381 
-1794 -2695 3340 
4084 8058 7332 
-3841 3301 -1498 
730 8972 -4865 
-927 2961 7634 
-4904 -3304 6204 
-6307 -9270 460 
6558 -715 3201 
1603 -6202 -9006 
5473 -438 -8197 
6020 -5756 8477 
-8094 -5448 -2927 
2670 -1780 -6872 
7327 218 2522 
4389 9473 823 
-8279 1038 1546 
-3630 -3520 -3354 
-4258 -998 -7650 
9264 -7840 -4677 
9935 -872 -6651 
7240 998 -91 
7062 6514 3057 
-6331 -6220 -8165 
5274 7323 287 
-3616 1488 -5294 
1595 3405 -4160 
4126 -1156 3381 
9630 -3324 8768 
