100 3
-241 6554 6104 
-6115 9396 6281 
-7242 -1323 7056 
3723 5179 7620 
-4049 4042 1219 
-5795 -8893 -2407 
-8421 5698 -5867 
-4459 -2207 -7629 
9776 -5677 -6139 
4811 5092 -1558 
1516 1371 9026 
2525 -7713 9581 
-5934 2950 -6348 
-8803 -5404 2303 
-2539 -8329 -4395 
3104 753 -6286 
8521 6483 -5802 
-6910 -4489 7513 
-136 4911 961 
643 -5373 1287 
5196 -7488 240 
-1800 7243 5034 
-7473 -226 3040 
608 36 -260 
7374 6114 -1931 
-1270 -8417 8462 
8487 9120 9913 
4645 -9055 -7738 
7021 4928 -7301 
1796 7705 -4337 
1130 6446 8926 
2699 -6624 7881 
-4925 -9501 708 
-4421 9697 5402 
-8691 6001 -1278 
4995 1696 5696 
-8356 -5269 -1760 
5908 -4170 8404 
4084 -4889 -3811 
-2115 -8989 -8037 
-7579 -8111 -2017 
-99 -3854 -5778 
203 9389 8684 
-9099 8601 6818 
2510 -6555 -3220 
-2315 9009 4045 
5849 4647 -298 
2448 -6236 3383 
1854 3906 8225 
8237 -3994 74 
9981 2303 -6875 
-6025 1873 -1697 
-3086 -2120 5692 
5841 4584 -6843 
2111 8979 -358 
7248 9867 -3716 
-1739 2301 -1331 
9093 953 8868 
-7447 -6724 7440 
-7134 -407 4203 
-218 804 -1578 
2455 -4141 5703 
1701 4117 -1799 
-9656 -3844 7531 
2169 2966 -1899 
281 -8113 5622 
-2890 -3982 -2387 
3036 2153 3276 
-2657 -7085 1350 
-9814 -5096 -1672 
-8303 3648 -8210 
3996 7391 227 
5356 -2052 -982 
6072 -6209 -2143 
3468 6767 4714 
-8653 1493 594 
-8000 -2484 -9624 
4646 8589 -9166 
8928 6057 -7589 
-9547 8634 8236 
1967 3646 -4265 
-8085 3730 3319 
6034 6392 1802 
-4412 3340 -9355 
-880 4813 6681 
-2560 7364 4709 
-7261 497 9206 
8374 1237 7398 
-3586 5874 -4283 
-6840 -3107 9500 
5585 -2314 3916 
-9464 -498 -8995 
-7980 8901 -5528 
9126 8906 -104 
7982 1334 -6157 
-9791 -3161 4084 
2093 -4737 8269 
184 3449 8429 
5777 8724 -2448 
479 7583 4707 
